4075,4073,4070,4067,4064,4061,4113,4164,4216,4267,4319,4371,4422,4474,4525,4576,4550,4524,4498,4471,4445,4419,4393,4366,4340,4313,4313,4312,4311,4311,4310,4309,4309,4308,4307,4306,4309,4311,4314,4316,4319,4321,4324,4326,4329,4331
12638,12485,12340,12195,12051,11915,12008,12111,12213,12315,12417,12520,12622,12724,12827,12937,12999,13069,13139,13209,13279,13350,13420,13490,13560,13639,13665,13701,13736,13772,13807,13842,13878,13913,13949,13992,14037,14089,14142,14195,14247,14300,14353,14406,14458,14519
12638,12507,12362,12217,12073,11915,12030,12132,12235,12337,12439,12542,12644,12746,12848,12937,13021,13091,13161,13231,13301,13371,13442,13512,13582,13639,13749,13846,13943,14041,14138,14235,14332,14429,14526,14610,14728,14832,14937,15041,15146,15250,15355,15459,15564,15655
12638,12498,12353,12208,12064,11915,11971,12022,12074,12125,12177,12229,12280,12332,12383,12430,12454,12472,12491,12509,12528,12546,12565,12584,12602,12616,12662,12703,12745,12786,12827,12869,12910,12951,12993,13029,13088,13143,13198,13252,13307,13361,13416,13471,13525,13575
12638,12479,12334,12189,12045,11915,11951,12003,12055,12106,12158,12209,12261,12313,12364,12430,12434,12453,12471,12490,12509,12527,12546,12564,12583,12616,12583,12564,12546,12527,12508,12490,12471,12452,12434,12430,12430,12444,12459,12473,12488,12503,12517,12532,12546,12576
8869,9426,9976,10526,11077,11620,12252,12877,13501,14126,14751,15376,16001,16626,17251,17869,18810,19745,20680,21614,22549,23484,24418,25353,26288,27216,28175,29128,30080,31033,31986,32938,33891,34843,35796,36742,37838,38927,40016,41105,42195,43284,44373,45462,46552,47634
8869,9427,9977,10527,11078,11620,12253,12878,13503,14127,14752,15377,16002,16627,17252,17869,18811,19746,20681,21615,22550,23485,24420,25354,26289,27216,28299,29374,30449,31525,32600,33675,34750,35825,36901,37968,39129,40283,41436,42590,43743,44897,46050,47203,48357,49502
8869,9420,9970,10520,11071,11620,12151,12681,13212,13742,14272,14803,15333,15863,16393,16923,17652,18379,19107,19835,20563,21291,22018,22746,23474,24201,25047,25893,26738,27584,28429,29275,30120,30966,31812,32656,33610,34564,35517,36470,37423,38376,39330,40283,41236,42188
8869,9427,9977,10528,11078,11620,12158,12689,13219,13749,14280,14810,15340,15870,16401,16923,17659,18387,19114,19842,20570,21298,22026,22753,23481,24201,24512,24816,25119,25423,25726,26029,26333,26636,26940,27235,27589,27934,28280,28625,28970,29316,29661,30007,30352,30690
6161,6402,6647,6891,7136,7384,7359,7337,7315,7294,7272,7251,7229,7207,7186,7167,7316,7468,7621,7773,7925,8077,8230,8382,8534,8690,8696,8706,8715,8725,8735,8744,8754,8764,8773,8786,8863,8943,9023,9103,9183,9263,9343,9422,9502,9586
